"ID","Name","Color"
"3838","Lavender Blue Dark","RGBColor[0.3450630323831863, 0.42232226416783347, 0.6191508154938878]"
"3839","Lavender Blue Medium","RGBColor[0.42331816158221064, 0.502478571702947, 0.7076785315606194]"
"3840","Lavender Blue Light","RGBColor[0.7046559986370664, 0.7757393513939443, 0.900934175864012]"
"3841","Baby Blue Pale","RGBColor[0.7735106432148993, 0.8567276650932425, 0.8989957246731195]"
"3842","Wedgewood Very Dark","RGBColor[0.11817377283180983, 0.33882634741058343, 0.45785507175348095]"
"3843","Electric Blue","RGBColor[0.08560348883312342, 0.6440812496857354, 0.8487351838911202]"
"3844","Turquoise Bright Dark","RGBColor[0.07107215579971485, 0.607903303582457, 0.7294953020904935]"
"3845","Turquoise Bright Medium","RGBColor[0.0779821408847203, 0.7148874775387299, 0.8138334320965774]"
"3846","Turquoise Bright Light","RGBColor[0.23994810878740802, 0.8205218415832367, 0.8894344540411248]"
"3847","Teal Green Dark","RGBColor[0.11005102930841755, 0.4043584696080543, 0.36240240536802526]"
"3848","Teal Green Medium","RGBColor[0.1975096358992846, 0.5357809831840573, 0.49986953344356666]"
"3849","Teal Green Light","RGBColor[0.2786876138784741, 0.6796648965915777, 0.6091987175741506]"
"3850","Green Bright Dark","RGBColor[0.1224341137040195, 0.5209578595909826, 0.36330308662468813]"
"3851","Green Bright Light","RGBColor[0.27153890473675696, 0.6739875312117515, 0.5325042955468807]"
"3852","Straw Very Dark","RGBColor[0.7982991633721606, 0.5763902207831328, 0.18804513283080593]"
"3853","Autumn Gold Dark","RGBColor[0.9043227938788791, 0.5037675587621127, 0.19981710143613562]"
"3854","Autumn Gold Medium","RGBColor[0.9490006048979499, 0.6460011477236944, 0.305863322904535]"
"3855","Autumn Gold Light","RGBColor[0.9843179430323782, 0.8421787740183171, 0.5725440909840042]"
"3856","Mahogany Ultra Very Light","RGBColor[0.9691345009224255, 0.772442986592358, 0.5862761931414655]"
"3857","Rosewood Dark","RGBColor[0.4009278138078557, 0.1692970298949602, 0.13166827475370052]"
"3858","Rosewood Medium","RGBColor[0.5417465767572296, 0.2720995065649172, 0.2230456177294512]"
"3859","Rosewood Light","RGBColor[0.7479771116427, 0.5106014899787605, 0.42618415667449694]"
"3860","Cocoa","RGBColor[0.4640069160119089, 0.3371592620710943, 0.3119679923265907]"
"3861","Cocoa Light","RGBColor[0.6224839555437627, 0.4901935112688523, 0.4546296055517639]"
"3862","Mocha Beige Dark","RGBColor[0.5015188017416615, 0.3707590955807725, 0.23310528968134017]"
"3863","Mocha Beige Medium","RGBColor[0.5516728367465216, 0.4290930730672301, 0.30782720950893727]"
"3864","Mocha Beige Light","RGBColor[0.7590898149295233, 0.6572057455396233, 0.5336075489422438]"
"3865","Winter White","RGBColor[0.9748389633024095, 0.9632110140944732, 0.933398137854859]"
"3866","Mocha Brown Ultra Very Light","RGBColor[0.9587281309005969, 0.9331855196500104, 0.8906413594336422]"
"400","Mahogany Dark","RGBColor[0.5331015270393021, 0.2554939429640173, 0.11097172069314122]"
"402","Mahogany Very Light","RGBColor[0.9343954154228298, 0.6189020617378945, 0.39713739220232425]"
"407","Desert Sand Medium","RGBColor[0.7468592842528641, 0.49647740963248654, 0.3710494778850275]"
"413","Pewter Gray Dark","RGBColor[0.29642934466026133, 0.30717535755544767, 0.3100426339620084]"
"414","Steel Gray Dark","RGBColor[0.5320483881229705, 0.5397812145360446, 0.5510712617506119]"
"415","Pearl Gray","RGBColor[0.7605550405725001, 0.7739292995009449, 0.7849441233171393]"
"420","Hazelnut Brown Dark","RGBColor[0.5995218216995805, 0.4148535890686793, 0.22012354842598747]"
"422","Hazelnut Brown Light","RGBColor[0.8336587055260073, 0.6820127467173266, 0.4700387276359637]"
"433","Brown Medium","RGBColor[0.4657337116655048, 0.2705573988451596, 0.13165329352178662]"
"434","Brown Light","RGBColor[0.596494043846725, 0.36380453504124105, 0.19941713053186422]"
"435","Brown Very Light","RGBColor[0.6787926387257457, 0.4220321692131866, 0.23059707094104173]"
"436","Tan","RGBColor[0.7895419408564289, 0.550785983383625, 0.3145073434101555]"
"437","Tan Light","RGBColor[0.8737127916035967, 0.6891253196892209, 0.46921520069515726]"
"444","Lemon Dark","RGBColor[0.9808967504638415, 0.7964639674519793, 0.07182644080678009]"
"445","Lemon Light","RGBColor[0.9914501712835943, 0.9583427013325463, 0.5278727578271942]"
"451","Shell Gray Dark","RGBColor[0.5550650935893987, 0.47189745807429295, 0.44253034384279566]"
"452","Shell Gray Medium","RGBColor[0.7336245956817404, 0.657633672689296, 0.6311843450564324]"
"453","Shell Gray Light","RGBColor[0.8215187152366161, 0.764553473302996, 0.7204009953612014]"
"469","Avocado Green","RGBColor[0.4019574161015953, 0.4634612709240845, 0.22775660231311762]"
"470","Avocado Green Light","RGBColor[0.5156912251804383, 0.5815278133171189, 0.265438845866148]"
"471","Avocado Green Very Light","RGBColor[0.6648154740546921, 0.7227389772912167, 0.3583151408006498]"
"472","Avocado Green Ultra Light","RGBColor[0.8474634410991791, 0.872019998894669, 0.5081433851943906]"
"498","Red Dark","RGBColor[0.5726318515101584, 0.07570752407075282, 0.17269906286613318]"
"500","Blue Green Very Dark","RGBColor[0.08285711319998383, 0.2582288203369167, 0.1851162841795208]"
"501","Blue Green Dark","RGBColor[0.18412178746596192, 0.36237228332858257, 0.2790327458246108]"
"502","Blue Green","RGBColor[0.34099004865930643, 0.5315965615824081, 0.4245954560481643]"
"503","Blue Green Medium","RGBColor[0.508944790559746, 0.6695106303065144, 0.5646988375623787]"
"504","Blue Green Very Light","RGBColor[0.7525024206920338, 0.8808694436611509, 0.808093073400512]"
"505","Jade Green","RGBColor[0.3620774852466884, 0.5941643588619776, 0.45585941558059145]"
"517","Wedgewood Dark","RGBColor[0.15140829865184113, 0.41960660533252714, 0.5594123549307664]"
"518","Wedgewood Light","RGBColor[0.2894310020911426, 0.5541386553822536, 0.6500193933878258]"
"519","Sky Blue","RGBColor[0.5082027756611451, 0.7155508494640261, 0.817337436227614]"
"520","Fern Green Dark","RGBColor[0.3024027356563462, 0.34461044938763985, 0.21801617463726522]"
"522","Fern Green","RGBColor[0.5750190494747633, 0.6032404597933108, 0.452564589180916]"
"523","Fern Green Light","RGBColor[0.6890757189061284, 0.714914565223998, 0.561535496859907]"
"524","Fern Green Very Light","RGBColor[0.7242008158770754, 0.7313325802701952, 0.5963095089434822]"
"535","Ash Gray Very Light","RGBColor[0.3222549281988013, 0.32281966331838274, 0.2849534043811798]"
"543","Beige Brown Ultra Very Light","RGBColor[0.9255890881195554, 0.8621366558753466, 0.7751733253277988]"
